Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,Analysis Neighborhoods
220181779,50,22008631,Other,01/18/2022,01/18/2022,01/18/2022 01:38:10 PM,01/18/2022 01:38:47 PM,01/18/2022 01:59:04 PM,01/18/2022 01:59:04 PM,01/18/2022 01:59:04 PM,,,Fire,01/18/2022 03:55:14 PM,17-TH DE HARO ST,San Francisco,94103,B03,29,2355,2,2,2,true,Non Life-threatening,1,MEDIC,1,3.0,10,Mission Bay,220181779-50,POINT (-122.40113066801707 37.764922583300844),4
220111608,E06,22005327,Alarms,01/11/2022,01/11/2022,01/11/2022 01:05:54 PM,01/11/2022 01:07:03 PM,01/11/2022 01:07:09 PM,01/11/2022 01:08:15 PM,01/11/2022 01:09:19 PM,,,Fire,01/11/2022 01:16:05 PM,0 Block of SANCHEZ ST,San Francisco,94114,B05,06,5131,3,3,3,true,Alarm,1,ENGINE,1,2,8,Castro/Upper Market,220111608-E06,POINT (-122.43120487845243 37.768462245901794),5
220111597,AM110,22005326,Medical Incident,01/11/2022,01/11/2022,01/11/2022 12:59:13 PM,01/11/2022 01:02:48 PM,01/11/2022 01:03:30 PM,01/11/2022 01:03:48 PM,01/11/2022 01:11:24 PM,01/11/2022 02:04:39 PM,01/11/2022 02:52:05 PM,Code 2 Transport,01/11/2022 03:36:28 PM,100 Block of ADDISON ST,San Francisco,94131,B06,26,8122,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,6,8,Glen Park,220111597-AM110,POINT (-122.43239831371099 37.73782181348269),10
220111595,E07,22005325,Outside Fire,01/11/2022,01/11/2022,01/11/2022 01:01:47 PM,01/11/2022 01:01:47 PM,01/11/2022 01:02:38 PM,01/11/2022 01:03:25 PM,01/11/2022 01:05:37 PM,,,Fire,01/11/2022 01:07:41 PM,FLORIDA ST/15TH ST,San Francisco,94103,B02,29,5221,A,3,3,true,Fire,1,ENGINE,1,2,9,Mission,220111595-E07,POINT (-122.41158013454891 37.76684138916838),20
220181524,E08,22008605,Alarms,01/18/2022,01/18/2022,01/18/2022 12:19:21 PM,01/18/2022 12:22:54 PM,01/18/2022 12:23:05 PM,01/18/2022 12:23:12 PM,01/18/2022 12:24:41 PM,,,Fire,01/18/2022 12:27:19 PM,600 Block of BRYANT ST,San Francisco,94107,B03,08,2242,3,3,3,true,Alarm,1,ENGINE,2,3.0,6,South of Market,220181524-E08,POINT (-122.39917886356567 37.778682965266455),34
221201435,E41,22054664,Outside Fire,04/30/2022,04/30/2022,04/30/2022 12:32:37 PM,04/30/2022 12:34:09 PM,04/30/2022 12:34:15 PM,04/30/2022 12:35:20 PM,04/30/2022 12:37:21 PM,,,Fire,04/30/2022 12:41:42 PM,LARKIN ST/GREEN ST,San Francisco,94109,B01,41,1631,3,3,3,false,Fire,1,ENGINE,1,1,3,Russian Hill,221201435-E41,POINT (-122.42050128567884 37.79803346092744),32
211941035,T05,21082896,Citizen Assist / Service Call,07/13/2021,07/13/2021,07/13/2021 10:00:30 AM,07/13/2021 10:01:59 AM,07/13/2021 10:05:38 AM,07/13/2021 10:05:46 AM,,,,Fire,07/13/2021 10:10:08 AM,0 Block of FRANKLIN ST,San Francisco,94102,B02,36,3212,3,3,3,false,Alarm,1,TRUCK,3,2,5,Hayes Valley,211941035-T05,POINT (-122.42074129455239 37.77453627709375),9
220181030,B10,22008545,Alarms,01/18/2022,01/18/2022,01/18/2022 10:09:29 AM,01/18/2022 10:11:19 AM,01/18/2022 10:11:25 AM,01/18/2022 10:12:14 AM,,,,Fire,01/18/2022 10:21:57 AM,700 Block of FLORIDA ST,San Francisco,94110,B06,07,5451,3,3,3,false,Alarm,1,CHIEF,2,6,9,Mission,220181030-B10,POINT (-122.41082866531978 37.75977151300213),20
222091290,T10,22096127,Alarms,07/28/2022,07/28/2022,07/28/2022 11:47:47 AM,07/28/2022 11:49:52 AM,07/28/2022 11:50:13 AM,07/28/2022 11:51:44 AM,,,,Fire,07/28/2022 11:56:01 AM,300 Block of MASONIC AVE,San Francisco,94118,B05,21,4462,3,3,3,false,Alarm,1,TRUCK,3,5,5,Lone Mountain/USF,222091290-T10,POINT (-122.4468748150448 37.778154438518655),18
222091252,SCRT3,22096119,Other,07/28/2022,07/28/2022,07/28/2022 11:39:25 AM,07/28/2022 11:39:25 AM,07/28/2022 11:39:50 AM,,,,,Cancelled,07/28/2022 11:40:38 AM,900 Block of MARKET ST,San Francisco,94103,B01,01,2247,A,1,2,false,,1,SUPPORT,1,3,6,South of Market,222091252-SCRT3,POINT (-122.40842111692173 37.78356993869201),34
221200830,E03,22054584,Alarms,04/30/2022,04/30/2022,04/30/2022 09:14:00 AM,04/30/2022 09:15:34 AM,04/30/2022 09:15:43 AM,04/30/2022 09:18:05 AM,04/30/2022 09:19:35 AM,,,Fire,04/30/2022 09:31:26 AM,200 Block of GOLDEN GATE AVE,San Francisco,94102,B02,03,1548,3,3,3,true,Alarm,1,ENGINE,1,2,6,Tenderloin,221200830-E03,POINT (-122.41510513501383 37.78176090810061),36
220180731,76,22008514,Medical Incident,01/18/2022,01/18/2022,01/18/2022 08:42:03 AM,01/18/2022 08:43:28 AM,01/18/2022 08:47:08 AM,01/18/2022 08:47:15 AM,,,,Code 2 Transport,01/18/2022 08:50:15 AM,0 Block of CARL ST,San Francisco,94117,B05,12,5199,2,2,2,true,Non Life-threatening,1,MEDIC,2,5,5,Haight Ashbury,220180731-76,POINT (-122.44890193700888 37.76599035911472),3
211230557,E08,21052693,Alarms,05/03/2021,05/03/2021,05/03/2021 08:10:53 AM,05/03/2021 08:12:23 AM,05/03/2021 08:12:30 AM,05/03/2021 08:15:05 AM,05/03/2021 08:16:37 AM,,,Fire,05/03/2021 08:28:56 AM,100 Block of BERRY ST,San Francisco,94158,B03,08,2171,3,3,3,true,Alarm,1,ENGINE,2,3,6,Mission Bay,211230557-E08,POINT (-122.39218945055315 37.776631385410525),4
212930834,E02,21127608,Alarms,10/20/2021,10/20/2021,10/20/2021 08:56:13 AM,10/20/2021 08:57:38 AM,10/20/2021 08:57:51 AM,10/20/2021 08:57:58 AM,10/20/2021 09:02:36 AM,,,Fire,10/20/2021 09:09:37 AM,500-501 TAYLOR ST,San Francisco,94102,B01,03,1451,3,3,3,true,Alarm,1,ENGINE,1,1.0,3,Tenderloin,212930834-E02,POINT (-122.41148097975834 37.787114830341956),36
211940163,73,21082786,Medical Incident,07/13/2021,07/12/2021,07/13/2021 02:27:46 AM,07/13/2021 02:30:19 AM,07/13/2021 02:30:47 AM,07/13/2021 02:30:59 AM,07/13/2021 02:42:16 AM,07/13/2021 02:51:27 AM,07/13/2021 02:55:34 AM,Code 3 Transport,07/13/2021 03:42:32 AM,100 Block of 3RD ST,San Francisco,94103,B03,01,2177,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Financial District/South Beach,211940163-73,POINT (-122.40093057593437 37.785468868780875),8
211940150,E07,21082785,Traffic Collision,07/13/2021,07/12/2021,07/13/2021 02:14:37 AM,07/13/2021 02:14:37 AM,07/13/2021 02:14:54 AM,07/13/2021 02:16:29 AM,07/13/2021 02:18:18 AM,,,Code 2 Transport,07/13/2021 02:33:19 AM,2600 Block of HARRISON ST,San Francisco,94110,B06,07,0545,B,3,3,true,Non Life-threatening,1,ENGINE,1,6.0,9,Mission,211940150-E07,POINT (-122.41212257930248 37.755031422190974),20
211940150,77,21082785,Traffic Collision,07/13/2021,07/12/2021,07/13/2021 02:14:37 AM,07/13/2021 02:14:37 AM,07/13/2021 02:14:54 AM,07/13/2021 02:15:04 AM,07/13/2021 02:19:26 AM,07/13/2021 02:51:42 AM,07/13/2021 02:57:45 AM,Code 2 Transport,07/13/2021 03:44:58 AM,2600 Block of HARRISON ST,San Francisco,94110,B06,07,0545,B,3,3,true,Non Life-threatening,1,MEDIC,2,6.0,9,Mission,211940150-77,POINT (-122.41212257930248 37.755031422190974),20
211940174,62,21082787,Medical Incident,07/13/2021,07/12/2021,07/13/2021 02:48:01 AM,07/13/2021 02:50:13 AM,07/13/2021 02:53:06 AM,07/13/2021 02:54:19 AM,07/13/2021 03:08:39 AM,07/13/2021 03:29:15 AM,07/13/2021 03:37:07 AM,Code 2 Transport,07/13/2021 04:19:25 AM,500 Block of SOUTH VAN NESS AVE,San Francisco,94110,B02,07,5246,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,9,Mission,211940174-62,POINT (-122.41747849146768 37.76437320966664),20
221200301,T11,22054509,Alarms,04/30/2022,04/29/2022,04/30/2022 02:55:25 AM,04/30/2022 02:57:52 AM,04/30/2022 02:58:00 AM,04/30/2022 03:00:17 AM,04/30/2022 03:02:22 AM,,,Fire,04/30/2022 03:10:16 AM,1000 Block of CHURCH ST,San Francisco,94114,B06,11,5467,3,3,3,false,Alarm,1,TRUCK,2,6,8,Noe Valley,221200301-T11,POINT (-122.42759040963105 37.75409838123123),22
221200301,B06,22054509,Alarms,04/30/2022,04/29/2022,04/30/2022 02:55:25 AM,04/30/2022 02:57:52 AM,04/30/2022 02:58:00 AM,04/30/2022 03:01:14 AM,04/30/2022 03:02:50 AM,,,Fire,04/30/2022 03:11:18 AM,1000 Block of CHURCH ST,San Francisco,94114,B06,11,5467,3,3,3,false,Alarm,1,CHIEF,3,6,8,Noe Valley,221200301-B06,POINT (-122.42759040963105 37.75409838123123),22
221200301,E11,22054509,Alarms,04/30/2022,04/29/2022,04/30/2022 02:55:25 AM,04/30/2022 02:57:52 AM,04/30/2022 02:58:00 AM,04/30/2022 02:59:52 AM,04/30/2022 03:01:46 AM,,,Fire,04/30/2022 03:10:45 AM,1000 Block of CHURCH ST,San Francisco,94114,B06,11,5467,3,3,3,true,Alarm,1,ENGINE,1,6,8,Noe Valley,221200301-E11,POINT (-122.42759040963105 37.75409838123123),22
211940032,T14,21082774,Alarms,07/13/2021,07/12/2021,07/13/2021 12:31:53 AM,07/13/2021 12:34:05 AM,07/13/2021 12:34:12 AM,07/13/2021 12:35:49 AM,,,,Fire,07/13/2021 12:39:58 AM,600 Block of 16TH AVE,San Francisco,94118,B07,31,7155,3,3,3,false,Alarm,1,TRUCK,3,7,1,Outer Richmond,211940032-T14,POINT (-122.47468461641205 37.77581222755014),29
211230166,59,21052638,Medical Incident,05/03/2021,05/02/2021,05/03/2021 02:56:45 AM,05/03/2021 02:56:45 AM,05/03/2021 02:57:17 AM,05/03/2021 02:57:24 AM,05/03/2021 02:59:15 AM,05/03/2021 03:04:39 AM,05/03/2021 03:06:30 AM,Code 2 Transport,05/03/2021 03:45:41 AM,1800 Block of WALLER ST,San Francisco,94122,B05,12,4552,B,3,3,true,Potentially Life-Threatening,1,MEDIC,1,5,5,Golden Gate Park,211230166-59,POINT (-122.45431162017051 37.76815416294525),12
211230166,E12,21052638,Medical Incident,05/03/2021,05/02/2021,05/03/2021 02:56:45 AM,05/03/2021 02:56:45 AM,05/03/2021 02:57:17 AM,05/03/2021 02:59:00 AM,,,,Code 2 Transport,05/03/2021 03:02:17 AM,1800 Block of WALLER ST,San Francisco,94122,B05,12,4552,B,3,3,true,Potentially Life-Threatening,1,ENGINE,2,5,5,Golden Gate Park,211230166-E12,POINT (-122.45431162017051 37.76815416294525),12
211230167,77,21052639,Medical Incident,05/03/2021,05/02/2021,05/03/2021 02:55:59 AM,05/03/2021 02:58:39 AM,05/03/2021 02:59:43 AM,05/03/2021 02:59:49 AM,05/03/2021 03:06:28 AM,05/03/2021 03:17:38 AM,05/03/2021 03:23:45 AM,Code 2 Transport,05/03/2021 03:55:19 AM,HYDE ST/GROVE ST,San Francisco,94103,B02,36,1552,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,211230167-77,POINT (-122.41474122302185 37.77871942885321),36
211230167,E03,21052639,Medical Incident,05/03/2021,05/02/2021,05/03/2021 02:55:59 AM,05/03/2021 02:58:39 AM,05/03/2021 02:59:43 AM,05/03/2021 03:01:45 AM,05/03/2021 03:05:18 AM,,,Code 2 Transport,05/03/2021 03:09:21 AM,HYDE ST/GROVE ST,San Francisco,94103,B02,36,1552,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,211230167-E03,POINT (-122.41474122302185 37.77871942885321),36
210391341,B02,21017620,Alarms,02/08/2021,02/08/2021,02/08/2021 11:45:49 AM,02/08/2021 11:47:29 AM,02/08/2021 11:48:12 AM,02/08/2021 11:49:34 AM,,,,Fire,02/08/2021 11:51:59 AM,100 Block of EDDY ST,San Francisco,94102,B03,03,1453,3,3,3,false,Alarm,1,CHIEF,2,3,6,Tenderloin,210391341-B02,POINT (-122.41011948345108 37.78419090478903),36
222090209,T14,22095985,Other,07/28/2022,07/27/2022,07/28/2022 02:57:56 AM,07/28/2022 02:57:56 AM,07/28/2022 02:58:30 AM,07/28/2022 03:00:42 AM,07/28/2022 03:02:57 AM,,,Fire,07/28/2022 03:16:45 AM,6100 Block of GEARY BL,San Francisco,94121,B07,14,7213,C,3,3,false,Alarm,1,TRUCK,1,7.0,1,Outer Richmond,222090209-T14,POINT (-122.48527495541484 37.78013450549825),29
212930249,E14,21127530,Medical Incident,10/20/2021,10/19/2021,10/20/2021 02:46:13 AM,10/20/2021 02:46:58 AM,10/20/2021 02:47:10 AM,10/20/2021 02:49:17 AM,10/20/2021 02:52:09 AM,,,Code 2 Transport,10/20/2021 03:06:01 AM,200 Block of EL CAMINO DEL MAR,San Francisco,94121,B07,14,7215,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,7,2,Seacliff,212930249-E14,POINT (-122.4858252679559 37.78764160195054),33
222090139,B02,22095973,Alarms,07/28/2022,07/27/2022,07/28/2022 02:00:16 AM,07/28/2022 02:02:40 AM,07/28/2022 02:02:51 AM,,,,,Fire,07/28/2022 02:04:49 AM,0 Block of TAYLOR ST,San Francisco,94102,B03,01,1454,3,3,3,false,Alarm,1,CHIEF,2,3,6,Tenderloin,222090139-B02,POINT (-122.41068795650901 37.78248520640453),36
212971884,E14,21129868,Alarms,10/24/2021,10/24/2021,10/24/2021 01:22:29 PM,10/24/2021 01:24:05 PM,10/24/2021 01:24:10 PM,10/24/2021 01:25:09 PM,10/24/2021 01:27:51 PM,,,Fire,10/24/2021 01:30:00 PM,600 Block of 24TH AV,San Francisco,94121,B07,14,7176,3,3,3,true,Alarm,1,ENGINE,1,7.0,1,Outer Richmond,212971884-E14,POINT (-122.48345775749036 37.7772826553843),29
212971879,E34,21129867,Electrical Hazard,10/24/2021,10/24/2021,10/24/2021 01:21:07 PM,10/24/2021 01:22:57 PM,10/24/2021 01:23:40 PM,10/24/2021 01:24:28 PM,,,,Fire,10/24/2021 01:31:20 PM,700 Block of 47TH AV,San Francisco,94121,B07,34,7277,3,3,3,true,Alarm,1,ENGINE,1,7.0,1,Outer Richmond,212971879-E34,POINT (-122.50795628905959 37.77429187391155),29
212971885,E15,21129869,Medical Incident,10/24/2021,10/24/2021,10/24/2021 01:22:41 PM,10/24/2021 01:24:09 PM,10/24/2021 01:24:53 PM,10/24/2021 01:26:28 PM,10/24/2021 01:29:05 PM,,,Code 2 Transport,10/24/2021 02:08:15 PM,1000 Block of CAYUGA AVE,San Francisco,94112,B09,15,0827,2,2,2,true,Non Life-threatening,1,ENGINE,1,9,11,Outer Mission,212971885-E15,POINT (-122.43987498414019 37.72176846236125),28
220173023,67,22008351,Medical Incident,01/17/2022,01/17/2022,01/17/2022 09:23:31 PM,01/17/2022 09:24:26 PM,01/17/2022 09:28:39 PM,,,,,Cancelled,01/17/2022 09:32:41 PM,3RD ST/PALOU AV,San Francisco,94124,B10,17,6515,3,2,2,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Bayview Hunters Point,220173023-67,POINT (-122.39096789028375 37.73401387414893),1
221192820,B07,22054370,Alarms,04/29/2022,04/29/2022,04/29/2022 07:44:52 PM,04/29/2022 07:47:25 PM,04/29/2022 07:47:51 PM,04/29/2022 07:49:29 PM,04/29/2022 07:58:30 PM,,,No Merit,04/29/2022 08:01:02 PM,7000 Block of CALIFORNIA ST,San Francisco,94121,B07,14,7246,3,3,3,false,Alarm,1,CHIEF,3,7,1,Outer Richmond,221192820-B07,POINT (-122.49299640828323 37.78346573948259),29
210390329,T07,21017496,Citizen Assist / Service Call,02/08/2021,02/07/2021,02/08/2021 05:02:39 AM,02/08/2021 05:03:30 AM,02/08/2021 05:04:50 AM,02/08/2021 05:06:59 AM,02/08/2021 05:09:02 AM,,,Fire,02/08/2021 05:17:52 AM,2900 Block of 21ST ST,San Francisco,94110,B06,07,0545,2,2,2,true,Alarm,1,TRUCK,1,6,9,Mission,210390329-T07,POINT (-122.41290267219259 37.75745126564383),20
211931446,T02,21082538,Alarms,07/12/2021,07/12/2021,07/12/2021 11:48:57 AM,07/12/2021 11:50:36 AM,07/12/2021 11:52:37 AM,07/12/2021 11:52:48 AM,07/12/2021 11:53:42 AM,,,Fire,07/12/2021 12:00:18 PM,1300 Block of COLUMBUS AVE,San Francisco,94133,B01,28,1525,3,3,3,false,Alarm,1,TRUCK,1,1,3,North Beach,211931446-T02,POINT (-122.41853707467516 37.80615159356133),23
222082247,T10,22095798,Alarms,07/27/2022,07/27/2022,07/27/2022 04:26:27 PM,07/27/2022 04:27:52 PM,07/27/2022 04:28:46 PM,07/27/2022 04:30:27 PM,,,,Fire,07/27/2022 04:36:59 PM,200 Block of 3RD AVE,San Francisco,94118,B07,31,7116,3,3,3,false,Alarm,1,TRUCK,3,7,1,Inner Richmond,222082247-T10,POINT (-122.46134103746012 37.784019158038824),11
211221179,T15,21052393,Alarms,05/02/2021,05/02/2021,05/02/2021 12:13:31 PM,05/02/2021 12:15:32 PM,05/02/2021 12:15:37 PM,05/02/2021 12:18:10 PM,,,,Fire,05/02/2021 12:31:44 PM,500 Block of CARTER ST,San Francisco,94134,B09,43,6245,3,3,3,false,Alarm,1,TRUCK,3,9,10,Excelsior,211221179-T15,POINT (-122.4236240969691 37.708814905323536),7
212971813,E22,21129843,Citizen Assist / Service Call,10/24/2021,10/24/2021,10/24/2021 01:01:05 PM,10/24/2021 01:03:31 PM,10/24/2021 01:03:52 PM,10/24/2021 01:05:13 PM,10/24/2021 01:06:37 PM,,,Fire,10/24/2021 01:12:17 PM,1900 Block of IRVING ST,San Francisco,94122,B08,22,7424,3,3,3,false,Alarm,1,ENGINE,1,8,4,Sunset/Parkside,212971813-E22,POINT (-122.47873250261156 37.763545930089975),35
212971812,76,21129842,Medical Incident,10/24/2021,10/24/2021,10/24/2021 01:01:35 PM,10/24/2021 01:03:24 PM,10/24/2021 01:03:33 PM,10/24/2021 01:03:38 PM,10/24/2021 01:19:24 PM,10/24/2021 01:28:36 PM,10/24/2021 01:33:45 PM,Code 3 Transport,10/24/2021 02:14:26 PM,MISSION ST/26TH ST,San Francisco,94110,B06,11,5613,2,2,2,true,Non Life-threatening,1,MEDIC,1,6,9,Mission,212971812-76,POINT (-122.4181352517022 37.74904128843695),20
212971814,E44,21129844,Electrical Hazard,10/24/2021,10/24/2021,10/24/2021 01:01:25 PM,10/24/2021 01:03:42 PM,10/24/2021 01:04:15 PM,10/24/2021 01:04:23 PM,,,,Fire,10/24/2021 01:11:47 PM,5-12 SCOTIA AV,San Francisco,94124,B10,42,6363,3,3,3,true,Alarm,1,ENGINE,1,10.0,10,Bayview Hunters Point,212971814-E44,POINT (-122.4019452923132 37.73457174728995),1
211931110,E41,21082489,Alarms,07/12/2021,07/12/2021,07/12/2021 10:16:10 AM,07/12/2021 10:17:51 AM,07/12/2021 10:18:21 AM,07/12/2021 10:20:02 AM,07/12/2021 10:21:59 AM,,,Fire,07/12/2021 10:22:32 AM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,3,3,3,false,Alarm,1,ENGINE,2,2,6,Tenderloin,211931110-E41,POINT (-122.41359351287615 37.78469892197606),36
221191715,B05,22054232,Alarms,04/29/2022,04/29/2022,04/29/2022 01:46:00 PM,04/29/2022 01:49:19 PM,04/29/2022 01:49:38 PM,04/29/2022 01:50:54 PM,04/29/2022 01:54:55 PM,,,Fire,04/29/2022 02:03:08 PM,1400 Block of MARKET ST,San Francisco,94102,B02,36,3219,3,3,3,false,Alarm,1,CHIEF,1,2,6,Tenderloin,221191715-B05,POINT (-122.4184635783809 37.775911866887036),36
220170811,B02,22008104,Alarms,01/17/2022,01/17/2022,01/17/2022 09:28:15 AM,01/17/2022 09:29:17 AM,01/17/2022 09:29:25 AM,01/17/2022 09:30:12 AM,01/17/2022 09:33:39 AM,,,Fire,01/17/2022 09:37:53 AM,3000 Block of 16TH ST,San Francisco,94103,B02,07,5236,3,3,3,false,Alarm,1,CHIEF,2,2,9,Mission,220170811-B02,POINT (-122.4207461905871 37.765041354178884),20
211930218,70,21082414,Medical Incident,07/12/2021,07/11/2021,07/12/2021 03:00:41 AM,07/12/2021 03:00:41 AM,07/12/2021 03:00:55 AM,07/12/2021 03:01:02 AM,07/12/2021 03:10:55 AM,,,SFPD,07/12/2021 03:11:10 AM,3500 Block of CESAR CHAVEZ ST,San Francisco,94110,B06,11,0555,A,2,2,true,Non Life-threatening,1,MEDIC,1,6,9,Bernal Heights,211930218-70,POINT (-122.42082186491224 37.747999680999996),2
221191444,E09,22054185,Outside Fire,04/29/2022,04/29/2022,04/29/2022 12:22:02 PM,04/29/2022 12:22:40 PM,04/29/2022 12:22:45 PM,04/29/2022 12:23:16 PM,04/29/2022 12:26:26 PM,,,Fire,04/29/2022 12:29:24 PM,CESAR CHAVEZ ST/VERMONT ST,San Francisco,94124,B10,09,6821,3,3,3,true,Fire,1,ENGINE,2,10,10,Potrero Hill,221191444-E09,POINT (-122.40286631047564 37.74947845999445),26
212921683,E03,21127240,Alarms,10/19/2021,10/19/2021,10/19/2021 01:10:04 PM,10/19/2021 01:10:04 PM,10/19/2021 01:10:04 PM,10/19/2021 01:10:04 PM,10/19/2021 01:10:04 PM,,,Fire,10/19/2021 01:14:45 PM,900 Block of LARKIN ST,San Francisco,94109,B04,03,1641,3,3,3,true,Alarm,1,ENGINE,1,4,6,Tenderloin,212921683-E03,POINT (-122.41829331198136 37.78679355639866),36
211922772,T09,21082313,Alarms,07/11/2021,07/11/2021,07/11/2021 08:10:33 PM,07/11/2021 08:11:49 PM,07/11/2021 08:11:52 PM,07/11/2021 08:13:23 PM,07/11/2021 08:17:07 PM,,,Fire,07/11/2021 08:31:29 PM,200 Block of BANKS ST,San Francisco,94110,B10,32,5727,3,3,3,false,Alarm,1,TRUCK,2,10,9,Bernal Heights,211922772-T09,POINT (-122.41265129514453 37.739759628521156),2
