year,title_field,value
2014,Income in the past 12 months below poverty level - Female - 55 to 64 years,2761
2014,Income in the past 12 months below poverty level - Female - 65 to 74 years,1775
2014,Income in the past 12 months below poverty level - Female - 75 years and over,1251
2014,Income in the past 12 months at or above poverty level,210018
2014,Income in the past 12 months at or above poverty level - Male,107512
2014,Income in the past 12 months at or above poverty level - Male - Under 5 years,8152
2014,Income in the past 12 months at or above poverty level - Male - 5 years,888
2014,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,5127
2014,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,2857
2014,Income in the past 12 months at or above poverty level - Male - 15 years,781
2014,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,1894
2014,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,9154
2014,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,26716
2014,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,20304
2014,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,12608
2014,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,11006
2014,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,5164
2014,Income in the past 12 months at or above poverty level - Male - 75 years and over,2861
2014,Income in the past 12 months at or above poverty level - Female,102506
2014,Income in the past 12 months at or above poverty level - Female - Under 5 years,7913
2014,Income in the past 12 months at or above poverty level - Female - 5 years,1141
2014,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,6621
2014,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,2340
2014,Income in the past 12 months at or above poverty level - Female - 15 years,756
2014,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,2351
2014,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,8806
2014,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,21331
2014,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,17186
2014,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,12271
2014,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,10153
2014,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,7466
2014,Income in the past 12 months at or above poverty level - Female - 75 years and over,4171
2013,Total Population 5 years and over,254793
2013,Income in the past 12 months below poverty level,52462
2013,Income in the past 12 months below poverty level - Male,24604
2013,Income in the past 12 months below poverty level - Male - Under 5 years,3771
2013,Income in the past 12 months below poverty level - Male - 5 years,515
2013,Income in the past 12 months below poverty level - Male - 6 to 11 years,2588
2013,Income in the past 12 months below poverty level - Male - 12 to 14 years,1708
2013,Income in the past 12 months below poverty level - Male - 15 years,482
2013,Income in the past 12 months below poverty level - Male - 16 and 17 years,1643
2013,Income in the past 12 months below poverty level - Male - 18 to 24 years,3901
2013,Income in the past 12 months below poverty level - Male - 25 to 34 years,2867
2013,Income in the past 12 months below poverty level - Male - 35 to 44 years,1964
2013,Income in the past 12 months below poverty level - Male - 45 to 54 years,2244
2013,Income in the past 12 months below poverty level - Male - 55 to 64 years,1522
2013,Income in the past 12 months below poverty level - Male - 65 to 74 years,641
2013,Income in the past 12 months below poverty level - Male - 75 years and over,758
2013,Income in the past 12 months below poverty level - Female,27858
2013,Income in the past 12 months below poverty level - Female - Under 5 years,2737
2013,Income in the past 12 months below poverty level - Female - 5 years,393
2013,Income in the past 12 months below poverty level - Female - 6 to 11 years,3095
2013,Income in the past 12 months below poverty level - Female - 12 to 14 years,1451
2013,Income in the past 12 months below poverty level - Female - 15 years,491
2013,Income in the past 12 months below poverty level - Female - 16 and 17 years,303
2013,Income in the past 12 months below poverty level - Female - 18 to 24 years,3548
2013,Income in the past 12 months below poverty level - Female - 25 to 34 years,4530
2013,Income in the past 12 months below poverty level - Female - 35 to 44 years,4329
2013,Income in the past 12 months below poverty level - Female - 45 to 54 years,3137
2013,Income in the past 12 months below poverty level - Female - 55 to 64 years,1527
2013,Income in the past 12 months below poverty level - Female - 65 to 74 years,1010
2013,Income in the past 12 months below poverty level - Female - 75 years and over,1307
2013,Income in the past 12 months at or above poverty level,202331
2013,Income in the past 12 months at or above poverty level - Male,99969
2013,Income in the past 12 months at or above poverty level - Male - Under 5 years,5189
2013,Income in the past 12 months at or above poverty level - Male - 5 years,852
2013,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,5214
2013,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,2630
2013,Income in the past 12 months at or above poverty level - Male - 15 years,871
2013,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,1313
2013,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,8066
2013,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,25664
2013,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,18686
2013,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,13641
2013,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,9660
2013,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,6329
2013,Income in the past 12 months at or above poverty level - Male - 75 years and over,1854
2013,Income in the past 12 months at or above poverty level - Female,102362
2013,Income in the past 12 months at or above poverty level - Female - Under 5 years,6286
2013,Income in the past 12 months at or above poverty level - Female - 5 years,1173
2013,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,5666
2013,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,2896
2013,Income in the past 12 months at or above poverty level - Female - 15 years,886
2013,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,2037
2013,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,7653
2013,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,24448
2013,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,14424
2013,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,13367
2013,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,12090
2013,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,6612
2013,Income in the past 12 months at or above poverty level - Female - 75 years and over,4824
2012,Total Population 5 years and over,251935
2012,Income in the past 12 months below poverty level,48873
2012,Income in the past 12 months below poverty level - Male,19851
2012,Income in the past 12 months below poverty level - Male - Under 5 years,1950
2012,Income in the past 12 months below poverty level - Male - 5 years,813
2012,Income in the past 12 months below poverty level - Male - 6 to 11 years,2667
2012,Income in the past 12 months below poverty level - Male - 12 to 14 years,881
2012,Income in the past 12 months below poverty level - Male - 15 years,276
2012,Income in the past 12 months below poverty level - Male - 16 and 17 years,1001
2012,Income in the past 12 months below poverty level - Male - 18 to 24 years,2197
2012,Income in the past 12 months below poverty level - Male - 25 to 34 years,3441
2012,Income in the past 12 months below poverty level - Male - 35 to 44 years,2553
2012,Income in the past 12 months below poverty level - Male - 45 to 54 years,2034
2012,Income in the past 12 months below poverty level - Male - 55 to 64 years,1185
2012,Income in the past 12 months below poverty level - Male - 65 to 74 years,642
2012,Income in the past 12 months below poverty level - Male - 75 years and over,211
2012,Income in the past 12 months below poverty level - Female,29022
2012,Income in the past 12 months below poverty level - Female - Under 5 years,2256
2012,Income in the past 12 months below poverty level - Female - 5 years,265
2012,Income in the past 12 months below poverty level - Female - 6 to 11 years,2514
2012,Income in the past 12 months below poverty level - Female - 12 to 14 years,1651
2012,Income in the past 12 months below poverty level - Female - 15 years,601
2012,Income in the past 12 months below poverty level - Female - 16 and 17 years,850
2012,Income in the past 12 months below poverty level - Female - 18 to 24 years,3902
2012,Income in the past 12 months below poverty level - Female - 25 to 34 years,4948
2012,Income in the past 12 months below poverty level - Female - 35 to 44 years,3824
2012,Income in the past 12 months below poverty level - Female - 45 to 54 years,3150
2012,Income in the past 12 months below poverty level - Female - 55 to 64 years,2358
2012,Income in the past 12 months below poverty level - Female - 65 to 74 years,1297
2012,Income in the past 12 months below poverty level - Female - 75 years and over,1406
2012,Income in the past 12 months at or above poverty level,203062
2012,Income in the past 12 months at or above poverty level - Male,103648
2012,Income in the past 12 months at or above poverty level - Male - Under 5 years,6501
2012,Income in the past 12 months at or above poverty level - Male - 5 years,883
2012,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,5904
2012,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,2731
2012,Income in the past 12 months at or above poverty level - Male - 15 years,516
2012,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,1749
2012,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,9164
2012,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,25637
2012,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,16327
2012,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,14536
2012,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,11091
2012,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,5314
2012,Income in the past 12 months at or above poverty level - Male - 75 years and over,3295
2012,Income in the past 12 months at or above poverty level - Female,99414
2012,Income in the past 12 months at or above poverty level - Female - Under 5 years,6724
2012,Income in the past 12 months at or above poverty level - Female - 5 years,975
2012,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,5200
2012,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,2912
2012,Income in the past 12 months at or above poverty level - Female - 15 years,710
2012,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,1937
2012,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,7850
2012,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,22906
2012,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,14197
2012,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,12615
2012,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,11325
2012,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,6448
2012,Income in the past 12 months at or above poverty level - Female - 75 years and over,5615
2011,Total Population 5 years and over,248093
2011,Income in the past 12 months below poverty level,40588
2011,Income in the past 12 months below poverty level - Male,18971
2011,Income in the past 12 months below poverty level - Male - Under 5 years,2642
2011,Income in the past 12 months below poverty level - Male - 5 years,153
2011,Income in the past 12 months below poverty level - Male - 6 to 11 years,2099
2011,Income in the past 12 months below poverty level - Male - 12 to 14 years,523
2011,Income in the past 12 months below poverty level - Male - 15 years,473
2011,Income in the past 12 months below poverty level - Male - 16 and 17 years,543
2011,Income in the past 12 months below poverty level - Male - 18 to 24 years,2633
2011,Income in the past 12 months below poverty level - Male - 25 to 34 years,4160
2011,Income in the past 12 months below poverty level - Male - 35 to 44 years,1889
2011,Income in the past 12 months below poverty level - Male - 45 to 54 years,1413
2011,Income in the past 12 months below poverty level - Male - 55 to 64 years,946
2011,Income in the past 12 months below poverty level - Male - 65 to 74 years,1096
2011,Income in the past 12 months below poverty level - Male - 75 years and over,401
2011,Income in the past 12 months below poverty level - Female,21617
2011,Income in the past 12 months below poverty level - Female - Under 5 years,1660
2011,Income in the past 12 months below poverty level - Female - 5 years,187
2011,Income in the past 12 months below poverty level - Female - 6 to 11 years,1871
2011,Income in the past 12 months below poverty level - Female - 12 to 14 years,1288
2011,Income in the past 12 months below poverty level - Female - 15 years,664
2011,Income in the past 12 months below poverty level - Female - 16 and 17 years,364
2011,Income in the past 12 months below poverty level - Female - 18 to 24 years,3371
2011,Income in the past 12 months below poverty level - Female - 25 to 34 years,4383
2011,Income in the past 12 months below poverty level - Female - 35 to 44 years,2632
2011,Income in the past 12 months below poverty level - Female - 45 to 54 years,1725
2011,Income in the past 12 months below poverty level - Female - 55 to 64 years,1929
2011,Income in the past 12 months below poverty level - Female - 65 to 74 years,877
2011,Income in the past 12 months below poverty level - Female - 75 years and over,666
2011,Income in the past 12 months at or above poverty level,207505
2011,Income in the past 12 months at or above poverty level - Male,105516
2011,Income in the past 12 months at or above poverty level - Male - Under 5 years,5705
2011,Income in the past 12 months at or above poverty level - Male - 5 years,860
2011,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,5615
2011,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,2451
2011,Income in the past 12 months at or above poverty level - Male - 15 years,903
2011,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,1945
2011,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,9382
2011,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,27361
2011,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,16723
2011,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,14650
2011,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,11469
2011,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,5704
2011,Income in the past 12 months at or above poverty level - Male - 75 years and over,2748
2011,Income in the past 12 months at or above poverty level - Female,101989
2011,Income in the past 12 months at or above poverty level - Female - Under 5 years,6633
2011,Income in the past 12 months at or above poverty level - Female - 5 years,1018
2011,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,6176
2011,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,1777
2011,Income in the past 12 months at or above poverty level - Female - 15 years,919
2011,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,2287
2011,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,8293
2011,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,23428
2011,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,15453
2011,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,13106
2011,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,10835
2011,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,7223
2011,Income in the past 12 months at or above poverty level - Female - 75 years and over,4841
2010,Total Population 5 years and over,245467
2010,Income in the past 12 months below poverty level,46239
2010,Income in the past 12 months below poverty level - Male,20222
2010,Income in the past 12 months below poverty level - Male - Under 5 years,1936
2010,Income in the past 12 months below poverty level - Male - 5 years,1012
2010,Income in the past 12 months below poverty level - Male - 6 to 11 years,2672
2010,Income in the past 12 months below poverty level - Male - 12 to 14 years,1054
2010,Income in the past 12 months below poverty level - Male - 15 years,362
2010,Income in the past 12 months below poverty level - Male - 16 and 17 years,1361
2010,Income in the past 12 months below poverty level - Male - 18 to 24 years,3084
2010,Income in the past 12 months below poverty level - Male - 25 to 34 years,3132
2010,Income in the past 12 months below poverty level - Male - 35 to 44 years,1830
2010,Income in the past 12 months below poverty level - Male - 45 to 54 years,1892
2010,Income in the past 12 months below poverty level - Male - 55 to 64 years,993
2010,Income in the past 12 months below poverty level - Male - 65 to 74 years,564
2010,Income in the past 12 months below poverty level - Male - 75 years and over,330
2010,Income in the past 12 months below poverty level - Female,26017
2010,Income in the past 12 months below poverty level - Female - Under 5 years,2314
2010,Income in the past 12 months below poverty level - Female - 5 years,503
2010,Income in the past 12 months below poverty level - Female - 6 to 11 years,2017
2010,Income in the past 12 months below poverty level - Female - 12 to 14 years,735
2010,Income in the past 12 months below poverty level - Female - 15 years,572
2010,Income in the past 12 months below poverty level - Female - 16 and 17 years,1359
2010,Income in the past 12 months below poverty level - Female - 18 to 24 years,4203
2010,Income in the past 12 months below poverty level - Female - 25 to 34 years,4623
2010,Income in the past 12 months below poverty level - Female - 35 to 44 years,2792
2010,Income in the past 12 months below poverty level - Female - 45 to 54 years,2949
2010,Income in the past 12 months below poverty level - Female - 55 to 64 years,2289
2010,Income in the past 12 months below poverty level - Female - 65 to 74 years,1162
2010,Income in the past 12 months below poverty level - Female - 75 years and over,499
2010,Income in the past 12 months at or above poverty level,199228
2010,Income in the past 12 months at or above poverty level - Male,101872
2010,Income in the past 12 months at or above poverty level - Male - Under 5 years,6263
2010,Income in the past 12 months at or above poverty level - Male - 5 years,1141
2010,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,6332
2010,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,2117
2010,Income in the past 12 months at or above poverty level - Male - 15 years,941
2010,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,2309
2010,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,9811
2010,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,25365
2010,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,17382
2010,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,13072
2010,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,10444
2010,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,5040
2010,Income in the past 12 months at or above poverty level - Male - 75 years and over,1655
2010,Income in the past 12 months at or above poverty level - Female,97356
2010,Income in the past 12 months at or above poverty level - Female - Under 5 years,6353
2010,Income in the past 12 months at or above poverty level - Female - 5 years,1363
2010,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,5645
2010,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,3263
2010,Income in the past 12 months at or above poverty level - Female - 15 years,547
2010,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,1648
2010,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,6946
2010,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,22465
2010,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,14466
2010,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,14240
2010,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,10317
2010,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,6169
2010,Income in the past 12 months at or above poverty level - Female - 75 years and over,3934
2009,Total Population 5 years and over,239911
2009,Income in the past 12 months below poverty level,39938
2009,Income in the past 12 months below poverty level - Male,17525
2009,Income in the past 12 months below poverty level - Male - Under 5 years,2638
2009,Income in the past 12 months below poverty level - Male - 5 years,578
2009,Income in the past 12 months below poverty level - Male - 6 to 11 years,1794
2009,Income in the past 12 months below poverty level - Male - 12 to 14 years,983
2009,Income in the past 12 months below poverty level - Male - 15 years,51
2009,Income in the past 12 months below poverty level - Male - 16 and 17 years,598
2009,Income in the past 12 months below poverty level - Male - 18 to 24 years,2286
2009,Income in the past 12 months below poverty level - Male - 25 to 34 years,2850
2009,Income in the past 12 months below poverty level - Male - 35 to 44 years,1766
2009,Income in the past 12 months below poverty level - Male - 45 to 54 years,1904
2009,Income in the past 12 months below poverty level - Male - 55 to 64 years,1122
2009,Income in the past 12 months below poverty level - Male - 65 to 74 years,684
2009,Income in the past 12 months below poverty level - Male - 75 years and over,271
2009,Income in the past 12 months below poverty level - Female,22413
2009,Income in the past 12 months below poverty level - Female - Under 5 years,1980
2009,Income in the past 12 months below poverty level - Female - 5 years,844
2009,Income in the past 12 months below poverty level - Female - 6 to 11 years,1936
2009,Income in the past 12 months below poverty level - Female - 12 to 14 years,591
2009,Income in the past 12 months below poverty level - Female - 15 years,255
2009,Income in the past 12 months below poverty level - Female - 16 and 17 years,691
2009,Income in the past 12 months below poverty level - Female - 18 to 24 years,2670
2009,Income in the past 12 months below poverty level - Female - 25 to 34 years,4784
2009,Income in the past 12 months below poverty level - Female - 35 to 44 years,2316
2009,Income in the past 12 months below poverty level - Female - 45 to 54 years,2377
2009,Income in the past 12 months below poverty level - Female - 55 to 64 years,1298
2009,Income in the past 12 months below poverty level - Female - 65 to 74 years,1034
2009,Income in the past 12 months below poverty level - Female - 75 years and over,1637
2009,Income in the past 12 months at or above poverty level,199973
2009,Income in the past 12 months at or above poverty level - Male,101175
2009,Income in the past 12 months at or above poverty level - Male - Under 5 years,5218
2009,Income in the past 12 months at or above poverty level - Male - 5 years,481
2009,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,6967
2009,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,2366
2009,Income in the past 12 months at or above poverty level - Male - 15 years,775
2009,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,2877
2009,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,8935
2009,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,27140
2009,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,16956
2009,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,12981
2009,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,9291
2009,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,4577
2009,Income in the past 12 months at or above poverty level - Male - 75 years and over,2611
2009,Income in the past 12 months at or above poverty level - Female,98798
2009,Income in the past 12 months at or above poverty level - Female - Under 5 years,7341
2009,Income in the past 12 months at or above poverty level - Female - 5 years,968
2009,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,4976
2009,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,2308
2009,Income in the past 12 months at or above poverty level - Female - 15 years,891
2009,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,1806
2009,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,7896
2009,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,24312
2009,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,14740
2009,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,13052
2009,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,10310
2009,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,5991
2009,Income in the past 12 months at or above poverty level - Female - 75 years and over,4207
2008,Total Population 5 years and over,225633
2008,Income in the past 12 months below poverty level,36054
2008,Income in the past 12 months below poverty level - Male,15428
2008,Income in the past 12 months below poverty level - Male - Under 5 years,1550
2008,Income in the past 12 months below poverty level - Male - 5 years,370
2008,Income in the past 12 months below poverty level - Male - 6 to 11 years,1881
2008,Income in the past 12 months below poverty level - Male - 12 to 14 years,637
2008,Income in the past 12 months below poverty level - Male - 15 years,338
2008,Income in the past 12 months below poverty level - Male - 16 and 17 years,740
2008,Income in the past 12 months below poverty level - Male - 18 to 24 years,2945
2008,Income in the past 12 months below poverty level - Male - 25 to 34 years,1292
2008,Income in the past 12 months below poverty level - Male - 35 to 44 years,2317
2008,Income in the past 12 months below poverty level - Male - 45 to 54 years,1151
2008,Income in the past 12 months below poverty level - Male - 55 to 64 years,1227
2008,Income in the past 12 months below poverty level - Male - 65 to 74 years,301
2008,Income in the past 12 months below poverty level - Male - 75 years and over,679
2008,Income in the past 12 months below poverty level - Female,20626
2008,Income in the past 12 months below poverty level - Female - Under 5 years,2212
2008,Income in the past 12 months below poverty level - Female - 5 years,351
2008,Income in the past 12 months below poverty level - Female - 6 to 11 years,2024
2008,Income in the past 12 months below poverty level - Female - 12 to 14 years,1168
2008,Income in the past 12 months below poverty level - Female - 15 years,299
2008,Income in the past 12 months below poverty level - Female - 16 and 17 years,608
2008,Income in the past 12 months below poverty level - Female - 18 to 24 years,2254
2008,Income in the past 12 months below poverty level - Female - 25 to 34 years,3211
2008,Income in the past 12 months below poverty level - Female - 35 to 44 years,2940
2008,Income in the past 12 months below poverty level - Female - 45 to 54 years,1341
2008,Income in the past 12 months below poverty level - Female - 55 to 64 years,2046
2008,Income in the past 12 months below poverty level - Female - 65 to 74 years,917
2008,Income in the past 12 months below poverty level - Female - 75 years and over,1255
2008,Income in the past 12 months at or above poverty level,189579
2008,Income in the past 12 months at or above poverty level - Male,96477
2008,Income in the past 12 months at or above poverty level - Male - Under 5 years,6251
2008,Income in the past 12 months at or above poverty level - Male - 5 years,846
2008,Income in the past 12 months at or above poverty level - Male - 6 to 11 years,6047
2008,Income in the past 12 months at or above poverty level - Male - 12 to 14 years,3690
2008,Income in the past 12 months at or above poverty level - Male - 15 years,727
2008,Income in the past 12 months at or above poverty level - Male - 16 and 17 years,2611
2008,Income in the past 12 months at or above poverty level - Male - 18 to 24 years,8363
2008,Income in the past 12 months at or above poverty level - Male - 25 to 34 years,17769
2008,Income in the past 12 months at or above poverty level - Male - 35 to 44 years,20079
2008,Income in the past 12 months at or above poverty level - Male - 45 to 54 years,13780
2008,Income in the past 12 months at or above poverty level - Male - 55 to 64 years,9265
2008,Income in the past 12 months at or above poverty level - Male - 65 to 74 years,4791
2008,Income in the past 12 months at or above poverty level - Male - 75 years and over,2258
2008,Income in the past 12 months at or above poverty level - Female,93102
2008,Income in the past 12 months at or above poverty level - Female - Under 5 years,6227
2008,Income in the past 12 months at or above poverty level - Female - 5 years,1556
2008,Income in the past 12 months at or above poverty level - Female - 6 to 11 years,4992
2008,Income in the past 12 months at or above poverty level - Female - 12 to 14 years,2045
2008,Income in the past 12 months at or above poverty level - Female - 15 years,884
2008,Income in the past 12 months at or above poverty level - Female - 16 and 17 years,3182
2008,Income in the past 12 months at or above poverty level - Female - 18 to 24 years,7258
2008,Income in the past 12 months at or above poverty level - Female - 25 to 34 years,14823
2008,Income in the past 12 months at or above poverty level - Female - 35 to 44 years,17235
2008,Income in the past 12 months at or above poverty level - Female - 45 to 54 years,14175
2008,Income in the past 12 months at or above poverty level - Female - 55 to 64 years,10441
2008,Income in the past 12 months at or above poverty level - Female - 65 to 74 years,5531
2008,Income in the past 12 months at or above poverty level - Female - 75 years and over,4753
2014,Gini Index,0.4945
2013,Gini Index,0.502
2012,Gini Index,0.4969
2011,Gini Index,0.4686
2010,Gini Index,0.477
2009,Gini Index,0.509
2008,Gini Index,0.487
