YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2010,2010,OR,Oregon,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,11.64,11.64,,,8.59,14.69,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-120.15503132599969 44.56744942400047),,41,AST,AST3_1,CRDRATE,RACE,AIAN,,,,
2012,2012,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,12.9,12.9,,,8.5,18.8,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),,35,AST,AST4_1,CRDRATE,OVERALL,OVR,,,,
2013,2013,CA,California,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,8.0,8,,,6.7,9.2,Gender,Male,,,,,POINT (-120.99999953799971 37.63864012300047),,06,AST,AST4_1,CRDRATE,GENDER,GENM,,,,
2010,2010,MT,Montana,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-109.42442064499971 47.06652897200047),,30,AST,AST4_1,NMBR,RACE,WHT,,,,
2020,2020,AZ,Arizona,NVSS,Asthma,Asthma mortality rate,,Number,Number,74,74,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-111.76381127699972 34.865970280000454),,04,AST,AST4_1,NMBR,RACE,WHT,,,,
2014,2014,HI,Hawaii,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,14.6,14.6,,,9.3,22,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),,15,AST,AST4_1,AGEADJRATE,OVERALL,OVR,,,,
2014,2014,RI,Rhode Island,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,25.31,25.31,,,21.51,29.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),,44,AST,AST3_1,CRDRATE,RACE,BLK,,,,
2010,2010,NH,New Hampshire,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Overall,Overall,,,,,POINT (-71.50036091999965 43.65595011300047),,33,AST,AST3_1,CRDRATE,OVERALL,OVR,,,,
2014,2014,OR,Oregon,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,5.01,5.01,,,3.17,6.85,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-120.15503132599969 44.56744942400047),,41,AST,AST3_1,AGEADJRATE,RACE,AIAN,,,,
2018,2018,MD,Maryland,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,2222,2222,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-76.60926011099963 39.29058096400047),,24,AST,AST3_1,NMBR,RACE,BLK,,,,
2012,2012,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),,35,AST,AST4_1,AGEADJRATE,RACE,WHT,,,,
2014,2014,WY,Wyoming,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Gender,Male,,,,,POINT (-108.10983035299967 43.23554134300048),,56,AST,AST3_1,NMBR,GENDER,GENM,,,,
2016,2016,WA,Washington,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,2.82,2.82,,,2.66,2.97,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-120.47001078999972 47.52227862900048),,53,AST,AST3_1,AGEADJRATE,RACE,WHT,,,,
2012,2012,NV,Nevada,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-117.07184056399967 39.493240390000494),,32,AST,AST4_1,AGEADJRATE,RACE,API,,,,
2020,2020,IL,Illinois,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,7.6,7.6,,,5.8,9.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),,17,AST,AST4_1,AGEADJRATE,RACE,WHT,,,,
2017,2017,FL,Florida,NVSS,Asthma,Asthma mortality rate,,,Number,179,179,,,,,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2015,2015,OK,Oklahoma,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-97.52107021399968 35.47203135600046),,40,AST,AST3_1,CRDRATE,RACE,AIAN,,,,
2019,2019,KY,Kentucky,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-84.77497104799966 37.645970271000465),,21,AST,AST4_1,AGEADJRATE,RACE,AIAN,,,,
2013,2013,MT,Montana,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-109.42442064499971 47.06652897200047),,30,AST,AST4_1,NMBR,RACE,BLK,,,,
2010,2010,NE,Nebraska,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST3_1,NMBR,RACE,API,,,,
2018,2018,NE,Nebraska,NVSS,Asthma,Asthma mortality rate,,Number,Number,23,23,,,,,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2018,2018,AL,Alabama,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST4_1,AGEADJRATE,RACE,API,,,,
2015,2015,SC,South Carolina,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,8.94,8.94,���,Estimate is based on the first 3 quarters of 2015 and is not directly comparable to estimates in prior years due to changes in ICD codes,8.63,9.25,Overall,Overall,,,,,POINT (-81.04537120699968 33.998821303000454),,45,AST,AST3_1,CRDRATE,OVERALL,OVR,,,,
2017,2017,IA,Iowa,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,8.4,8.4,,,5.4,12.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-93.81649055599968 42.46940091300047),,19,AST,AST4_1,AGEADJRATE,RACE,WHT,,,,
2017,2017,OK,Oklahoma,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-97.52107021399968 35.47203135600046),,40,AST,AST3_1,CRDRATE,RACE,API,,,,
2018,2018,NC,North Carolina,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,1.98,1.98,,,1.42,2.53,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST3_1,AGEADJRATE,RACE,API,,,,
2014,2014,MO,Missouri,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-92.56630005299968 38.635790776000476),,29,AST,AST4_1,CRDRATE,RACE,AIAN,,,,
2017,2017,NM,New Mexico,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,5.19,5.19,,,4.74,5.65,Gender,Female,,,,,POINT (-106.24058098499967 34.52088095200048),,35,AST,AST3_1,AGEADJRATE,GENDER,GENF,,,,
2013,2013,NC,North Carolina,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,5.63,5.63,,,5.11,6.16,Race/Ethnicity,Hispanic,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST3_1,AGEADJRATE,RACE,HIS,,,,
2020,2020,NC,North Carolina,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST4_1,CRDRATE,RACE,HIS,,,,
2015,2015,MT,Montana,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Gender,Male,,,,,POINT (-109.42442064499971 47.06652897200047),,30,AST,AST4_1,NMBR,GENDER,GENM,,,,
2010,2010,DC,District of Columbia,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-77.036871 38.907192),,11,AST,AST4_1,CRDRATE,RACE,AIAN,,,,
2014,2014,VI,Virgin Islands,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-64.896335 18.335765),,78,AST,AST3_1,CRDRATE,RACE,AIAN,,,,
2013,2013,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,CRDRATE,RACE,HIS,,,,
2012,2012,NY,New York,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,15.6,15.6,,,13.1,18,Gender,Female,,,,,POINT (-75.54397042699964 42.82700103200045),,36,AST,AST4_1,CRDRATE,GENDER,GENF,,,,
2015,2015,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-92.27449074299966 34.74865012400045),,05,AST,AST4_1,NMBR,RACE,AIAN,,,,
2013,2013,CO,Colorado,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Gender,Male,,,,,POINT (-106.13361092099967 38.843840757000464),,08,AST,AST4_1,CRDRATE,GENDER,GENM,,,,
2020,2020,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,,Number,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-92.27449074299966 34.74865012400045),,05,AST,AST4_1,NMBR,RACE,API,,,,
2020,2020,NC,North Carolina,NVSS,Asthma,Asthma mortality rate,,Number,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST4_1,NMBR,RACE,API,,,,
2013,2013,MD,Maryland,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,11.1,11.1,,,8.6,14.1,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),,24,AST,AST4_1,AGEADJRATE,OVERALL,OVR,,,,
2020,2020,MI,Michigan,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST4_1,AGEADJRATE,RACE,AIAN,,,,
2015,2015,UT,Utah,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),,49,AST,AST3_1,AGEADJRATE,RACE,BLK,,,,
2014,2014,WA,Washington,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,1551,1551,,,,,Gender,Male,,,,,POINT (-120.47001078999972 47.52227862900048),,53,AST,AST3_1,NMBR,GENDER,GENM,,,,
2011,2011,MI,Michigan,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,11.4,11.4,,,9.3,13.6,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST4_1,CRDRATE,OVERALL,OVR,,,,
2015,2015,CT,Connecticut,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,9.9,9.9,,,6.6,14.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),,09,AST,AST4_1,AGEADJRATE,RACE,WHT,,,,
2014,2014,NC,North Carolina,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,160,160,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST3_1,NMBR,RACE,AIAN,,,,
2012,2012,MD,Maryland,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,16.8,16.8,,,12.5,22.1,Gender,Female,,,,,POINT (-76.60926011099963 39.29058096400047),,24,AST,AST4_1,CRDRATE,GENDER,GENF,,,,
2019,2019,IA,Iowa,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-93.81649055599968 42.46940091300047),,19,AST,AST4_1,AGEADJRATE,RACE,API,,,,
2017,2017,NH,New Hampshire,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),,33,AST,AST3_1,NMBR,RACE,WHT,,,,
2015,2015,WI,Wisconsin,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,2015,2015,���,Estimate is based on the first 3 quarters of 2015 and is not directly comparable to estimates in prior years due to changes in ICD codes,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-89.81637074199966 44.39319117400049),,55,AST,AST3_1,NMBR,RACE,WHT,,,,
2018,2018,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,CRDRATE,RACE,API,,,,
2018,2018,MO,Missouri,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-92.56630005299968 38.635790776000476),,29,AST,AST3_1,CRDRATE,RACE,API,,,,
2019,2019,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,,Number,Number,20,20,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,AST,AST4_1,NMBR,RACE,WHT,,,,
2016,2016,NY,New York,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,9.33,9.33,,,9.13,9.52,Gender,Male,,,,,POINT (-75.54397042699964 42.82700103200045),,36,AST,AST3_1,CRDRATE,GENDER,GENM,,,,
2018,2018,AK,Alaska,NVSS,Asthma,Asthma mortality rate,,Number,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST4_1,NMBR,RACE,BLK,,,,
2015,2015,MI,Michigan,NVSS,Asthma,Asthma mortality rate,,,Number,62,62,,,,,Gender,Female,,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST4_1,NMBR,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,15.3,15.3,,,13,17.6,Gender,Female,,,,,POINT (-75.54397042699964 42.82700103200045),,36,AST,AST4_1,AGEADJRATE,GENDER,GENF,,,,
2015,2015,MD,Maryland,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,4.68,4.68,���,Estimate is based on the first 3 quarters of 2015 and is not directly comparable to estimates in prior years due to changes in ICD codes,4.03,5.33,Race/Ethnicity,Hispanic,,,,,POINT (-76.60926011099963 39.29058096400047),,24,AST,AST3_1,CRDRATE,RACE,HIS,,,,
2018,2018,TX,Texas,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-99.42677020599967 31.827240407000488),,48,AST,AST3_1,CRDRATE,RACE,BLK,,,,
2014,2014,FL,Florida,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-81.92896053899966 28.932040377000476),,12,AST,AST4_1,CRDRATE,RACE,API,,,,
2012,2012,MN,Minnesota,NVSS,Asthma,Asthma mortality rate,,,Number,63,63,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-94.79420050299967 46.35564873600049),,27,AST,AST4_1,NMBR,RACE,WHT,,,,
2019,2019,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,CRDRATE,RACE,AIAN,,,,
2016,2016,MT,Montana,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-109.42442064499971 47.06652897200047),,30,AST,AST4_1,NMBR,RACE,HIS,,,,
2020,2020,MN,Minnesota,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,16.7,16.7,,,12.5,21.8,Gender,Female,,,,,POINT (-94.79420050299967 46.35564873600049),,27,AST,AST4_1,AGEADJRATE,GENDER,GENF,,,,
2017,2017,NE,Nebraska,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,353,353,,,,,Gender,Male,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST3_1,NMBR,GENDER,GENM,,,,
2018,2018,MI,Michigan,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,19.54,19.54,,,18.82,20.25,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST3_1,CRDRATE,RACE,BLK,,,,
2014,2014,NE,Nebraska,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST4_1,NMBR,RACE,BLK,,,,
2010,2010,NE,Nebraska,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,1346,1346,,,,,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST3_1,NMBR,OVERALL,OVR,,,,
2018,2018,NV,Nevada,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,16.46,16.46,,,15.04,17.88,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),,32,AST,AST3_1,AGEADJRATE,RACE,BLK,,,,
2020,2020,IA,Iowa,NVSS,Asthma,Asthma mortality rate,,Number,Number,22,22,,,,,Gender,Male,,,,,POINT (-93.81649055599968 42.46940091300047),,19,AST,AST4_1,NMBR,GENDER,GENM,,,,
2020,2020,AK,Alaska,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST4_1,CRDRATE,RACE,WHT,,,,
2010,2010,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,9.7,9.7,,,6.2,14.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,AGEADJRATE,RACE,WHT,,,,
2015,2015,NY,New York,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Age-adjusted Rate,,,-,No data available,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-75.54397042699964 42.82700103200045),,36,AST,AST3_1,AGEADJRATE,RACE,AIAN,,,,
2017,2017,VA,Virginia,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-78.45789046299967 37.54268067400045),,51,AST,AST3_1,NMBR,RACE,API,,,,
2012,2012,IA,Iowa,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-93.81649055599968 42.46940091300047),,19,AST,AST4_1,CRDRATE,RACE,BLK,,,,
2011,2011,MA,Massachusetts,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-72.08269067499964 42.27687047000046),,25,AST,AST4_1,CRDRATE,RACE,API,,,,
2013,2013,IN,Indiana,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-86.14996019399968 39.766910452000445),,18,AST,AST4_1,AGEADJRATE,RACE,HIS,,,,
2012,2012,DE,Delaware,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Gender,Female,,,,,POINT (-75.57774116799965 39.008830667000495),,10,AST,AST4_1,AGEADJRATE,GENDER,GENF,,,,
2018,2018,NV,Nevada,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-117.07184056399967 39.493240390000494),,32,AST,AST4_1,AGEADJRATE,RACE,HIS,,,,
2017,2017,ME,Maine,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,POINT (-68.98503133599962 45.254228894000505),,23,AST,AST3_1,NMBR,RACE,HIS,,,,
2016,2016,MA,Massachusetts,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,8.8,8.8,,,5.9,12.6,Gender,Male,,,,,POINT (-72.08269067499964 42.27687047000046),,25,AST,AST4_1,CRDRATE,GENDER,GENM,,,,
2014,2014,AZ,Arizona,NVSS,Asthma,Asthma mortality rate,,,Number,53,53,,,,,Gender,Female,,,,,POINT (-111.76381127699972 34.865970280000454),,04,AST,AST4_1,NMBR,GENDER,GENF,,,,
2015,2015,AL,Alabama,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST4_1,NMBR,RACE,AIAN,,,,
2012,2012,KY,Kentucky,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Gender,Female,,,,,POINT (-84.77497104799966 37.645970271000465),,21,AST,AST4_1,NMBR,GENDER,GENF,,,,
2014,2014,KS,Kansas,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST4_1,NMBR,RACE,HIS,,,,
